Team1,Result,Winner,Toss,Bat,Team2,Ground,Start Date,Host_Country,Venue_Team 1,Venue_Team 2,Inning_Team1,Inning_Team2,Team1_Toss,Margin,Team2_Toss,pitch,Winner_Inning,pitchn
Australia,won,Australia,won,first,South Africa,Sydney,5-Feb-06,Australia,Home,Away,first,2nd,won,57 runs,lost,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
South Africa,lost,Australia,lost,2nd,Australia,Sydney,5-Feb-06,Australia,Away,Home,2nd,first,lost,57 runs,won,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
India,lost,Australia,lost,first,Pakistan,Peshawar,6-Feb-06,Pakistan,Away,Home,first,2nd,lost,7 runs,won, flat/dead,1stinningwinner, flat/dead
Sri Lanka,won,Sri Lanka,won,first,South Africa,Hobart,7-Feb-06,Australia,Neutral,Neutral,first,2nd,won,76 runs,lost, fast/bouncy,1stinningwinner,fast/ high bounce
South Africa,lost,Sri Lanka,lost,2nd,Sri Lanka,Hobart,7-Feb-06,Australia,Neutral,Neutral,2nd,first,lost,76 runs,won, fast/bouncy,1stinningwinner,fast/ high bounce
Sri Lanka,won,Sri Lanka,won,first,Australia,Adelaide,10-Feb-06,Australia,Away,Home,first,2nd,won,22 runs,lost, fast/dusty/dry,1stinningwinner,fast/ high bounce
Australia,lost,Sri Lanka,lost,2nd,Sri Lanka,Adelaide,10-Feb-06,Australia,Home,Away,2nd,first,lost,22 runs,won, fast/dusty/dry,1stinningwinner,fast/ high bounce
India,won,India,lost,2nd,Pakistan,Rawalpindi,11-Feb-06,Pakistan,Away,Home,2nd,first,lost,7 wickets,won,flat/dead,2ndinningwinner, flat/dead
Australia,won,Australia,won,first,Sri Lanka,Sydney,12-Feb-06,Australia,Home,Away,first,2nd,won,167 runs,lost,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
Sri Lanka,lost,Australia,lost,2nd,Australia,Sydney,12-Feb-06,Australia,Away,Home,2nd,first,lost,167 runs,won,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
India,won,India,won,2nd,Pakistan,Lahore,13-Feb-06,Pakistan,Away,Home,2nd,first,won,5 wickets,lost,flat/dead,2ndinningwinner, flat/dead
Australia,won,Australia,lost,2nd,Sri Lanka,Brisbane,14-Feb-06,Australia,Home,Away,2nd,first,lost,9 wickets,won,fast/ bouncy,2ndinningwinner,fast/ high bounce
Sri Lanka,lost,Australia,won,first,Australia,Brisbane,14-Feb-06,Australia,Away,Home,first,2nd,won,9 wickets,lost,fast/ bouncy,2ndinningwinner,fast/ high bounce
India,won,India,won,2nd,Pakistan,Multan,16-Feb-06,Pakistan,Away,Home,2nd,first,won,5 wickets,lost, flat/dead,2ndinningwinner, flat/dead
New Zealand,won,New Zealand,won,first,West Indies,Wellington,18-Feb-06,New Zealand,Home,Away,first,2nd,won,81 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
West Indies,lost,New Zealand,lost,2nd,New Zealand,Wellington,18-Feb-06,New Zealand,Away,Home,2nd,first,lost,81 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
India,won,India,won,2nd,Pakistan,Karachi,19-Feb-06,Pakistan,Away,Home,2nd,first,won,8 wickets,lost,flat/dead,2ndinningwinner, flat/dead
Sri Lanka,won,Sri Lanka,lost,2nd,Bangladesh,Bogra,20-Feb-06,Bangladesh,Away,Home,2nd,first,lost,5 wickets,won,slow/dead/flat,2ndinningwinner,slow/dusty
Bangladesh,lost,Sri Lanka,won,first,Sri Lanka,Bogra,20-Feb-06,Bangladesh,Home,Away,first,2nd,won,5 wickets,lost,slow/dead/flat,2ndinningwinner,slow/dusty
New Zealand,won,New Zealand,won,2nd,West Indies,Queenstown,22-Feb-06,New Zealand,Home,Away,2nd,first,won,3 wickets,lost,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
West Indies,lost,New Zealand,lost,first,New Zealand,Queenstown,22-Feb-06,New Zealand,Away,Home,first,2nd,lost,3 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
Bangladesh,won,Bangladesh,won,2nd,Sri Lanka,Bogra,22-Feb-06,Bangladesh,Home,Away,2nd,first,won,4 wickets,lost,slow/dead/flat,2ndinningwinner,slow/dusty
Sri Lanka,lost,Bangladesh,lost,first,Bangladesh,Bogra,22-Feb-06,Bangladesh,Away,Home,first,2nd,lost,4 wickets,won,slow/dead/flat,2ndinningwinner,slow/dusty
New Zealand,won,New Zealand,won,first,West Indies,Christchurch,25-Feb-06,New Zealand,Home,Away,first,2nd,won,21 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
West Indies,lost,New Zealand,lost,2nd,New Zealand,Christchurch,25-Feb-06,New Zealand,Away,Home,2nd,first,lost,21 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
Sri Lanka,won,Sri Lanka,lost,first,Bangladesh,Chattogram,25-Feb-06,Bangladesh,Away,Home,first,2nd,lost,78 runs,won,slow/dead/flat,1stinningwinner,slow/dusty
Bangladesh,lost,Sri Lanka,won,2nd,Sri Lanka,Chattogram,25-Feb-06,Bangladesh,Home,Away,2nd,first,won,78 runs,lost,slow/dead/flat,1stinningwinner,slow/dusty
South Africa,won,South Africa,lost,2nd,Australia,Centurion,26-Feb-06,South Africa,Home,Away,2nd,first,lost,6 wickets,won,fast/green/low bounce,2ndinningwinner,fast/high bounce
Australia,lost,South Africa,won,first,South Africa,Centurion,26-Feb-06,South Africa,Away,Home,first,2nd,won,6 wickets,lost,fast/green/low bounce,2ndinningwinner,fast/high bounce
New Zealand,won,New Zealand,lost,first,West Indies,Napier,1-Mar-06,New Zealand,Home,Away,first,2nd,lost,91 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
West Indies,lost,New Zealand,won,2nd,New Zealand,Napier,1-Mar-06,New Zealand,Away,Home,2nd,first,won,91 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
South Africa,won,South Africa,won,first,Australia,Cape Town,3-Mar-06,South Africa,Home,Away,first,2nd,won,196 runs,lost,green/fast/low bounce,1stinningwinner,fast/high bounce
Australia,lost,South Africa,lost,2nd,South Africa,Cape Town,3-Mar-06,South Africa,Away,Home,2nd,first,lost,196 runs,won,green/fast/low bounce,1stinningwinner,fast/high bounce
West Indies,won,West Indies,lost,2nd,New Zealand,Auckland,4-Mar-06,New Zealand,Away,Home,2nd,first,lost,3 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,lost,West Indies,won,first,West Indies,Auckland,4-Mar-06,New Zealand,Home,Away,first,2nd,won,3 wickets,lost,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
Australia,won,Australia,lost,first,South Africa,Port Elizabeth,5-Mar-06,South Africa,Away,Home,first,2nd,lost,24 runs,won,fast/ low bounce,1stinningwinner,fast/high bounce
South Africa,lost,Australia,won,2nd,Australia,Port Elizabeth,5-Mar-06,South Africa,Home,Away,2nd,first,won,24 runs,lost,fast/ low bounce,1stinningwinner,fast/high bounce
Australia,won,Australia,lost,2nd,South Africa,Durban,10-Mar-06,South Africa,Away,Home,2nd,first,lost,1 wickets,won,green/fast/ bouncy,2ndinningwinner,fast/high bounce
South Africa,lost,Australia,won,first,Australia,Durban,10-Mar-06,South Africa,Home,Away,first,2nd,won,1 wickets,lost,green/fast/ bouncy,2ndinningwinner,fast/high bounce
South Africa,won,South Africa,lost,2nd,Australia,Johannesburg,12-Mar-06,South Africa,Home,Away,2nd,first,lost,1 wickets,won,green/fast/ bouncy,2ndinningwinner,fast/high bounce
Australia,lost,South Africa,won,first,South Africa,Johannesburg,12-Mar-06,South Africa,Away,Home,first,2nd,won,1 wickets,lost,green/fast/ bouncy,2ndinningwinner,fast/high bounce
Sri Lanka,lost,Pakistan,lost,first,Pakistan,Colombo (RPS),19-Mar-06,Sri Lanka,Home,Away,first,2nd,lost,4 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
Sri Lanka,lost,Pakistan,lost,first,Pakistan,Colombo (SSC),22-Mar-06,Sri Lanka,Home,Away,first,2nd,lost,4 wickets,won,slow/low/dusty,2ndinningwinner,dry/dusty
India,won,India,lost,first,England,Delhi,28-Mar-06,India,Home,Away,first,2nd,lost,39 runs,won,flat/dead/dry,1stinningwinner,flat/dead
England,lost,India,won,2nd,India,Delhi,28-Mar-06,India,Away,Home,2nd,first,won,39 runs,lost,flat/dead/dry,1stinningwinner,flat/dead
India,won,India,lost,2nd,England,Faridabad,31-Mar-06,India,Home,Away,2nd,first,lost,4 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead
England,lost,India,won,first,India,Faridabad,31-Mar-06,India,Away,Home,first,2nd,won,4 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead
India,won,India,won,first,England,Margao,3-Apr-06,India,Home,Away,first,2nd,won,49 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
England,lost,India,lost,2nd,India,Margao,3-Apr-06,India,Away,Home,2nd,first,lost,49 runs,won,slow/dead/flat,1stinningwinner,flat/dead
India,won,India,lost,2nd,England,Kochi,6-Apr-06,India,Home,Away,2nd,first,lost,4 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead
England,lost,India,won,first,India,Kochi,6-Apr-06,India,Away,Home,first,2nd,won,4 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead
England,won,England,lost,2nd,India,Jamshedpur,12-Apr-06,India,Away,Home,2nd,first,lost,5 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead
India,lost,England,won,first,England,Jamshedpur,12-Apr-06,India,Home,Away,first,2nd,won,5 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead
India,won,India,won,2nd,England,Indore,15-Apr-06,India,Home,Away,2nd,first,won,7 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
England,lost,India,lost,first,India,Indore,15-Apr-06,India,Away,Home,first,2nd,lost,7 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
India,lost,Pakistan,won,first,Pakistan,Abu Dhabi,18-Apr-06,Abu Dhabi,Neutral,Neutral,first,2nd,won,6 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
India,won,India,won,first,Pakistan,Abu Dhabi,19-Apr-06,Abu Dhabi,Neutral,Neutral,first,2nd,won,51 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
Australia,won,Australia,lost,2nd,Bangladesh,Chattogram,23-Apr-06,Bangladesh,Away,Home,2nd,first,lost,4 wickets,won,slow/dead/flat,2ndinningwinner,slow/dusty
Bangladesh,lost,Australia,won,first,Australia,Chattogram,23-Apr-06,Bangladesh,Home,Away,first,2nd,won,4 wickets,lost,slow/dead/flat,2ndinningwinner,slow/dusty
Australia,won,Australia,won,first,Bangladesh,Fatullah,26-Apr-06,Bangladesh,Away,Home,first,2nd,won,67 runs,lost,slow/dead/flat,1stinningwinner,slow/dusty
Bangladesh,lost,Australia,lost,2nd,Australia,Fatullah,26-Apr-06,Bangladesh,Home,Away,2nd,first,lost,67 runs,won,slow/dead/flat,1stinningwinner,slow/dusty
Australia,won,Australia,lost,2nd,Bangladesh,Fatullah,28-Apr-06,Bangladesh,Away,Home,2nd,first,lost,9 wickets,won,slow/dead/flat,2ndinningwinner,slow/dusty
Bangladesh,lost,Australia,won,first,Australia,Fatullah,28-Apr-06,Bangladesh,Away,Home,first,2nd,won,9 wickets,lost,slow/dead/flat,2ndinningwinner,slow/dusty
West Indies,won,West Indies,won,2nd,Zimbabwe,St Johns,29-Apr-06,Zimbabwe,Away,Home,2nd,first,won,5 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,lost,West Indies,lost,first,West Indies,St Johns,29-Apr-06,Zimbabwe,Home,Away,first,2nd,lost,5 wickets,won,slow/low,2ndinningwinner,slow/dusty
West Indies,won,West Indies,won,first,Zimbabwe,St Johns,30-Apr-06,Zimbabwe,Away,Home,first,2nd,won,98 runs,lost,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,West Indies,lost,2nd,West Indies,St Johns,30-Apr-06,Zimbabwe,Home,Away,2nd,first,lost,98 runs,won,slow/low,1stinningwinner,slow/dusty
West Indies,won,West Indies,won,first,Zimbabwe,Georgetown,7-May-06,West Indies,Home,Away,first,2nd,won,82 runs,lost, slow/low/dusty,1stinningwinner,slow/dusty
Zimbabwe,lost,West Indies,lost,2nd,West Indies,Georgetown,7-May-06,West Indies,Away,Home,2nd,first,lost,82 runs,won, slow/low/dusty,1stinningwinner,slow/dusty
West Indies,won,West Indies,lost,2nd,Zimbabwe,Gros Islet,10-May-06,West Indies,Home,Away,2nd,first,lost,10 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Zimbabwe,lost,West Indies,won,first,West Indies,Gros Islet,10-May-06,West Indies,Away,Home,first,2nd,won,10 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,won,West Indies,won,first,Zimbabwe,Port of Spain,14-May-06,West Indies,Home,Away,first,2nd,won,104 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Zimbabwe,lost,West Indies,lost,2nd,West Indies,Port of Spain,14-May-06,West Indies,Away,Home,2nd,first,lost,104 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
India,won,India,won,2nd,West Indies,Kingston,18-May-06,West Indies,Away,Home,2nd,first,won,5 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,lost,India,lost,first,India,Kingston,18-May-06,West Indies,Home,Away,first,2nd,lost,5 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,won,West Indies,lost,first,India,Kingston,20-May-06,West Indies,Home,Away,first,2nd,lost,1 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
India,lost,West Indies,won,2nd,West Indies,Kingston,20-May-06,West Indies,Away,Home,2nd,first,won,1 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,won,West Indies,lost,2nd,India,Basseterre,23-May-06,West Indies,Home,Away,2nd,first,lost,4 wickets,won, slow/low/dusty,2ndinningwinner,slow/dusty
India,lost,West Indies,won,first,West Indies,Basseterre,23-May-06,West Indies,Away,Home,first,2nd,won,4 wickets,lost, slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,won,West Indies,won,2nd,India,Port of Spain,26-May-06,West Indies,Home,Away,2nd,first,won,6 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
India,lost,West Indies,lost,first,West Indies,Port of Spain,26-May-06,West Indies,Away,Home,first,2nd,lost,6 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,won,West Indies,lost,first,India,Port of Spain,28-May-06,West Indies,Home,Away,first,2nd,lost,19 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
India,lost,West Indies,won,2nd,West Indies,Port of Spain,28-May-06,West Indies,Away,Home,2nd,first,won,19 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
England,won,England,won,first,Ireland,Belfast,13-Jun-06,Ireland,Away,Home,first,2nd,won,38 runs,lost, green/bouncy,1stinningwinner,fast/green/bouncy
Ireland,lost,England,lost,2nd,England,Belfast,13-Jun-06,Ireland,Home,Away,2nd,first,lost,38 runs,won, green/bouncy,1stinningwinner,fast/green/bouncy
Sri Lanka,won,Sri Lanka,lost,first,England,Lords,17-Jun-06,England,Away,Home,first,2nd,lost,20 runs,won,green,1stinningwinner,fast/green/bouncy/swing
England,lost,Sri Lanka,won,2nd,Sri Lanka,Lords,17-Jun-06,England,Home,Away,2nd,first,won,20 runs,lost,green,1stinningwinner,fast/green/bouncy/swing
Sri Lanka,won,Sri Lanka,won,first,England,The Oval,20-Jun-06,England,Away,Home,first,2nd,won,46 runs,lost,green/bouncy,1stinningwinner,fast/green/bouncy/swing
England,lost,Sri Lanka,lost,2nd,Sri Lanka,The Oval,20-Jun-06,England,Home,Away,2nd,first,lost,46 runs,won,green/bouncy,1stinningwinner,fast/green/bouncy/swing
Sri Lanka,won,Sri Lanka,lost,2nd,England,Chester-le-Street,24-Jun-06,England,Away,Home,2nd,first,lost,8 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,lost,Sri Lanka,won,first,Sri Lanka,Chester-le-Street,24-Jun-06,England,Home,Away,first,2nd,won,8 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Sri Lanka,won,Sri Lanka,won,first,England,Manchester,28-Jun-06,England,Away,Home,first,2nd,won,33 runs,lost, green/bouncy,1stinningwinner,fast/green/bouncy/swing
England,lost,Sri Lanka,lost,2nd,Sri Lanka,Manchester,28-Jun-06,England,Home,Away,2nd,first,lost,33 runs,won, green/bouncy,1stinningwinner,fast/green/bouncy/swing
Sri Lanka,won,Sri Lanka,lost,2nd,England,Leeds,1-Jul-06,England,Away,Home,2nd,first,lost,8 wickets,won, fast/green,2ndinningwinner,fast/green/bouncy/swing
England,lost,Sri Lanka,won,first,Sri Lanka,Leeds,1-Jul-06,England,Home,Away,first,2nd,won,8 wickets,lost, fast/green,2ndinningwinner,fast/green/bouncy/swing
Sri Lanka,won,Sri Lanka,won,first, Netherlands,Amstelveen,4-Jul-06,Netherlands ,Away,Home,first,2nd,won,195 runs,lost,green,1stinningwinner,fast/green/bouncy 
Netherlands,lost,Sri Lanka,lost,2nd,Sri Lanka,Amstelveen,4-Jul-06,Netherlands ,Home,Away,2nd,first,lost,195 runs,won,green,1stinningwinner,fast/green/bouncy 
Sri Lanka,won,Sri Lanka,won,first, Netherlands,Amstelveen,6-Jul-06,Netherlands ,Away,Home,first,2nd,won,55 runs,lost,green,1stinningwinner,fast/green/bouncy 
Netherlands,lost,Sri Lanka,lost,2nd,Sri Lanka,Amstelveen,6-Jul-06,Netherlands ,Home,Away,2nd,first,lost,55 runs,won,green,1stinningwinner,fast/green/bouncy 
Zimbabwe,won,Zimbabwe,won,2nd,Bangladesh,Harare,29-Jul-06,Zimbabwe,Home,Away,2nd,first,won,2 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Bangladesh,lost,Zimbabwe,lost,first,Zimbabwe,Harare,29-Jul-06,Zimbabwe,Away,Home,first,2nd,lost,2 wickets,won,slow/low,2ndinningwinner,slow/dusty
Bangladesh,won,Bangladesh,lost,first,Zimbabwe,Harare,30-Jul-06,Zimbabwe,Away,Home,first,2nd,lost,62 runs,won,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,Bangladesh,won,2nd,Bangladesh,Harare,30-Jul-06,Zimbabwe,Home,Away,2nd,first,won,62 runs,lost,slow/low,1stinningwinner,slow/dusty
Zimbabwe,won,Zimbabwe,won,2nd,Bangladesh,Harare,2-Aug-06,Zimbabwe,Home,Away,2nd,first,won,2 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Bangladesh,lost,Zimbabwe,lost,first,Zimbabwe,Harare,2-Aug-06,Zimbabwe,Away,Home,first,2nd,lost,2 wickets,won,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,won,Zimbabwe,lost,2nd,Bangladesh,Harare,4-Aug-06,Zimbabwe,Home,Away,2nd,first,lost,7 wickets,won,slow/low,2ndinningwinner,slow/dusty
Bangladesh,lost,Zimbabwe,won,first,Zimbabwe,Harare,4-Aug-06,Zimbabwe,Away,Home,first,2nd,won,7 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Bangladesh,won,Bangladesh,lost,2nd,Zimbabwe,Harare,6-Aug-06,Zimbabwe,Away,Home,2nd,first,lost,8 wickets,won,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,lost,Zimbabwe,won,first,Bangladesh,Harare,6-Aug-06,Zimbabwe,Home,Away,first,2nd,won,8 wickets,lost,slow/low,2ndinningwinner,slow/dusty
England,lost,Pakistan,lost,first,Pakistan,Lords,2-Sep-06,England,Home,Away,first,2nd,lost,7 wickets,won,green,2ndinningwinner,fast/green/bouncy/swing
England,lost,Pakistan,lost,first,Pakistan,Southampton,5-Sep-06,England,Home,Away,first,2nd,lost,2 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,won,England,lost,2nd,Pakistan,Nottingham,8-Sep-06,England,Home,Away,2nd,first,lost,8 wickets,won, fast/green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,won,England,won,2nd,Pakistan,Birmingham,10-Sep-06,England,Home,Away,2nd,first,won,3 wickets,lost, fast/green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Australia,won,Australia,won,first,West Indies,Kuala Lumpur,12-Sep-06,Malaysia,Neutral,Neutral,first,2nd,won,78 runs,lost, flat,1stinningwinner,flat/dead
West Indies,lost,Australia,lost,2nd,Australia,Kuala Lumpur,12-Sep-06,Malaysia,Neutral,Neutral,2nd,first,lost,78 runs,won, flat,1stinningwinner,flat/dead
West Indies,won,West Indies,lost,2nd,India,Kuala Lumpur,14-Sep-06,Malaysia,Neutral,Neutral,2nd,first,lost,29 runs,won, flat,1stinningwinner,flat/dead
India,lost,West Indies,won,first,West Indies,Kuala Lumpur,14-Sep-06,Malaysia,Neutral,Neutral,first,2nd,won,29 runs,lost, flat,1stinningwinner,flat/dead
South Africa,won,South Africa,lost,2nd,Zimbabwe,Bloemfontein,15-Sep-06,South Africa,Home,Away,2nd,first,lost,5 wickets,won,fast/low bounce,2ndinningwinner,fast/high bounce
Zimbabwe,lost,South Africa,won,first,South Africa,Bloemfontein,15-Sep-06,South Africa,Away,Home,first,2nd,won,5 wickets,lost,fast/low bounce,2ndinningwinner,fast/high bounce
West Indies,won,West Indies,lost,2nd,Australia,Kuala Lumpur,18-Sep-06,Malaysia,Neutral,Neutral,2nd,first,lost,3 wickets,won, flat,2ndinningwinner,flat/dead
Australia,lost,West Indies,won,first,West Indies,Kuala Lumpur,18-Sep-06,Malaysia,Neutral,Neutral,first,2nd,won,3 wickets,lost, flat,2ndinningwinner,flat/dead
South Africa,won,South Africa,lost,2nd,Zimbabwe,East London,18-Sep-06,South Africa,Home,Away,2nd,first,lost,6 wickets,won,green,2ndinningwinner,fast/high bounce
Zimbabwe,lost,South Africa,won,first,South Africa,East London,18-Sep-06,South Africa,Away,Home,first,2nd,won,6 wickets,lost,green,2ndinningwinner,fast/high bounce
India,won,India,won,first,West Indies,Kuala Lumpur,20-Sep-06,Malaysia,Neutral,Neutral,first,2nd,won,16 runs,lost, flat,1stinningwinner,flat/dead
West Indies,lost,India,lost,2nd,India,Kuala Lumpur,20-Sep-06,Malaysia,Neutral,Neutral,2nd,first,lost,16 runs,won, flat,1stinningwinner,flat/dead
South Africa,won,South Africa,won,first,Zimbabwe,Potchefstroom,20-Sep-06,South Africa,Home,Away,first,2nd,won,171 runs,lost,fast/ low bounce,1stinningwinner,fast/high bounce
Zimbabwe,lost,South Africa,lost,2nd,South Africa,Potchefstroom,20-Sep-06,South Africa,Away,Home,2nd,first,lost,171 runs,won,fast/ low bounce,1stinningwinner,fast/high bounce
Australia,won,Australia,won,first,India,Kuala Lumpur,22-Sep-06,Malaysia,Neutral,Neutral,first,2nd,won,18 runs,lost, flat,1stinningwinner,flat/dead
India,lost,Australia,lost,2nd,Australia,Kuala Lumpur,22-Sep-06,Malaysia,Neutral,Neutral,2nd,first,lost,18 runs,won, flat,1stinningwinner,flat/dead
Australia,won,Australia,won,first,West Indies,Kuala Lumpur,24-Sep-06,Malaysia,Neutral,Neutral,first,2nd,won,127 runs,lost, flat,1stinningwinner,flat/dead
West Indies,lost,Australia,lost,2nd,Australia,Kuala Lumpur,24-Sep-06,Malaysia,Neutral,Neutral,2nd,first,lost,127 runs,won, flat,1stinningwinner,flat/dead
Sri Lanka,won,Sri Lanka,lost,first,Bangladesh,Mohali,7-Oct-06,India,Neutral,Neutral,first,2nd,lost,37 runs,won,flat/dead/bouncy,1stinningwinner,flat/dead
